Time,Temp_C,Vib_Mag_g,X_g,Y_g,Z_g,Sound_dBr
13:10:38,27.3125,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-19.494460916817186
13:10:40,27.3125,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-90
13:10:42,27.3125,1.0526890789188421,-0.078125,-0.265625,1.015625,-19.445400539936692
13:10:44,27.3125,1.049916872639508,-0.078125,-0.26953125,1.01171875,-16.434526764861875
13:10:47,27.3125,1.06267950000297,-0.0703125,-0.27734375,1.0234375,-19.494460916817186
13:10:49,27.3125,1.064702164101392,-0.07421875,-0.26953125,1.02734375,-90
13:10:51,27.3125,1.0503745727901368,-0.0703125,-0.2734375,1.01171875,-90
13:10:53,27.3125,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-90
13:10:55,27.3125,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:10:58,27.375,1.059184567600089,-0.07421875,-0.27734375,1.01953125,-16.48589583858963
13:11:00,27.3125,1.0659769053292443,-0.078125,-0.2734375,1.02734375,-90
13:11:02,27.3125,1.061213893029022,-0.078125,-0.26953125,1.0234375,-16.434526764861875
13:11:04,27.3125,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:11:07,27.3125,1.059947819415094,-0.07421875,-0.265625,1.0234375,-90
13:11:09,27.3125,1.0577429699268568,-0.08203125,-0.26953125,1.01953125,-90
13:11:11,27.3125,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-19.445400539936692
13:11:13,27.3125,1.0386291977176274,-0.078125,-0.26953125,1.0,-19.494460916817186
13:11:16,27.3125,1.056458293533901,-0.078125,-0.265625,1.01953125,-19.494460916817186
13:11:18,27.3125,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-19.494460916817186
13:11:20,27.375,1.0526890789188421,-0.078125,-0.265625,1.015625,-90
13:11:22,27.375,1.050926453722054,-0.078125,-0.2734375,1.01171875,-19.494460916817186
13:11:25,27.375,1.0579016418311593,-0.0703125,-0.2734375,1.01953125,-19.494460916817186
13:11:27,27.375,1.0629451043783376,-0.07421875,-0.27734375,1.0234375,-16.534368973927883
13:11:29,27.375,1.0519495712203246,-0.078125,-0.27734375,1.01171875,-90
13:11:31,27.3125,1.056458293533901,-0.078125,-0.265625,1.01953125,-90
13:11:34,27.375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-90
13:11:36,27.375,1.0526890789188421,-0.078125,-0.265625,1.015625,-19.494460916817186
13:11:38,27.375,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:11:40,27.375,1.0531310853867208,-0.0703125,-0.26953125,1.015625,-90
13:11:43,27.375,1.064981591867026,-0.078125,-0.26953125,1.02734375,-90
13:11:45,27.375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:11:47,27.3125,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:11:49,27.375,1.061213893029022,-0.078125,-0.26953125,1.0234375,-90
13:11:51,27.3125,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:11:54,27.3125,1.0526890789188421,-0.078125,-0.265625,1.015625,-90
13:11:56,27.3125,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:11:58,27.3125,1.055909303874065,-0.0703125,-0.265625,1.01953125,-19.494460916817186
13:12:00,27.3125,1.0619325805643514,-0.07421875,-0.2734375,1.0234375,-90
13:12:03,27.375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-16.534368973927883
13:12:05,27.375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:12:07,27.3125,1.0622127369023118,-0.078125,-0.2734375,1.0234375,-90
13:12:09,27.375,1.04586880283063,-0.07421875,-0.26953125,1.0078125,-19.494460916817186
13:12:12,27.375,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-90
13:12:14,27.375,1.0541375881200234,-0.0703125,-0.2734375,1.015625,-19.494460916817186
13:12:16,27.3125,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-90
13:12:18,27.375,1.061213893029022,-0.078125,-0.26953125,1.0234375,-90
13:12:21,27.375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:12:23,27.375,1.0577429699268568,-0.08203125,-0.26953125,1.01953125,-19.494460916817186
13:12:25,27.375,1.0554250893079171,-0.07421875,-0.27734375,1.015625,-90
13:12:27,27.375,1.0602285002093887,-0.078125,-0.265625,1.0234375,-19.494460916817186
13:12:30,27.375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:12:32,27.375,1.0659769053292443,-0.078125,-0.2734375,1.02734375,-19.494460916817186
13:12:34,27.3125,1.0526890789188421,-0.078125,-0.265625,1.015625,-90
13:12:36,27.375,1.0567543405769029,-0.08203125,-0.265625,1.01953125,-90
13:12:39,27.375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-90
13:12:41,27.375,1.061213893029022,-0.078125,-0.26953125,1.0234375,-19.494460916817186
13:12:43,27.3125,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:12:45,27.375,1.0486371596401327,-0.07421875,-0.265625,1.01171875,-90
13:12:47,27.375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-16.534368973927883
13:12:50,27.375,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:12:52,27.3125,1.0448689384955476,-0.07421875,-0.265625,1.0078125,-90
13:12:54,27.375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:12:56,27.3125,1.061666722879054,-0.0703125,-0.2734375,1.0234375,-90
13:12:59,27.375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-19.494460916817186
13:13:01,27.375,1.0496334344330345,-0.07421875,-0.26953125,1.01171875,-90
